session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Hearing difficulties,Language related disorders,Nationality,Sex,Student Status,Vision
5ec14f496c113a57725eefe2,5e49da75ea0f3c4553a9e3b2,APPROVED,51:04.7,30:01.3,2336.581,21,173,0,100,02:09.4,5DFE8175,United States,United States,DATA EXPIRED,I only know English,English,No,none,United States,Female,DATA EXPIRED,Yes
5ec14f49bd765055ee97bb44,5d269fedf6dec40019b87a59,TIMED-OUT,52:21.5,,2870558.112,34,115,0,100,,,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5ec14f4c706cd81c34b5de67,5d8a64630ffb9c001746ca2c,APPROVED,50:52.5,22:57.4,1924.926,61,377,0,100,02:10.4,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5ec14f4eda53a903b67678ee,5eba3135160372169b8355ab,APPROVED,52:05.6,18:00.3,1554.688,19,64,0,100,02:11.4,5DFE8175,United States,United States,Other,I only know English,English,No,none,United States,Male,Yes,Yes
5ec14f506af68040a0d4748a,5eb376d17bd18016d012b29b,APPROVED,50:58.8,21:42.5,1843.711,31,100,0,100,02:12.4,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5ec2ce5f18c11f075b83d1a9,5eb9af967fbf4b0d17bbe946,APPROVED,06:12.4,29:11.4,1378.971,29,84,0,100,31:29.4,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5ec2dc7b8f2bc91060215ff0,5e8ccdf9b3423e07b04b4853,RETURNED,15:31.7,,2676400.053,42,78,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ec2ddb70023851098d34ab9,5d94aefeffb348001e4f92ad,APPROVED,10:58.3,35:38.5,1480.198,20,199,0,100,52:53.3,NOCODE,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5ec2de5f318a3410262b29bf,5eb4955dab41e130f24d08c9,RETURNED,23:35.3,,2675916.475,45,46,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ec2e11c16eb9d10ef6f17ad,5de7d12c26dd95000b6824c5,APPROVED,25:27.8,50:52.2,1524.366,44,185,0,100,52:54.2,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
