Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
941,1592669385329,20/06/2020 16:09:45,1592669385269,-4,20/06/2020 12:09:45,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,226,312,3,Screen 1,fixation,fixation,1000.0199999999022,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_daffodil_daffodir_005.mp3
942,1592669386329,20/06/2020 16:09:46,1592669386269,-4,20/06/2020 12:09:46,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,329,313,1,stimulus,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_002.mp3
943,1592669386673,20/06/2020 16:09:46,1592669386615,-4,20/06/2020 12:09:46,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,329,313,2,response,Zone3,response_keyboard_single,335.4000000108499,,,R,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_002.mp3
944,1592669387673,20/06/2020 16:09:47,1592669387603,-4,20/06/2020 12:09:47,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,329,313,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_002.mp3
945,1592669388657,20/06/2020 16:09:48,1592669388602,-4,20/06/2020 12:09:48,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,192,314,1,stimulus,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_atmosphere_atmosphill_006.mp3
946,1592669389112,20/06/2020 16:09:49,1592669389056,-4,20/06/2020 12:09:49,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,192,314,2,response,Zone2,response_keyboard_single,444.3850000097882,,,L,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_atmosphere_atmosphill_006.mp3
947,1592669390112,20/06/2020 16:09:50,1592669390053,-4,20/06/2020 12:09:50,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,192,314,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_atmosphere_atmosphill_006.mp3
948,1592669391112,20/06/2020 16:09:51,1592669391053,-4,20/06/2020 12:09:51,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,345,315,1,stimulus,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_010.mp3
949,1592669391559,20/06/2020 16:09:51,1592669391509,-4,20/06/2020 12:09:51,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,345,315,2,response,Zone2,response_keyboard_single,441.0650000208989,,,L,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_010.mp3
950,1592669392575,20/06/2020 16:09:52,1592669392503,-4,20/06/2020 12:09:52,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,345,315,3,Screen 1,fixation,fixation,1000.5280000000494,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_010.mp3
