Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
992,1589578121459,15/05/2020 21:28:41,1589578119924,-4,15/05/2020 17:28:39,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,404,329,3,Screen 1,fixation,fixation,999.5599999999395,,,,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_003.mp3
993,1589578122398,15/05/2020 21:28:42,1589578120855,-4,15/05/2020 17:28:40,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,376,330,1,stimulus,Zone1,content_audio,890.2650000018766,,,,0,1,0,,,,,3,Trial,,1,S,SH,sock_shock_007.mp3
994,1589578122568,15/05/2020 21:28:42,1589578121026,-4,15/05/2020 17:28:41,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,376,330,2,response,Zone3,response_keyboard_single,141.0150000010617,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,sock_shock_007.mp3
995,1589578123553,15/05/2020 21:28:43,1589578122023,-4,15/05/2020 17:28:42,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,376,330,3,Screen 1,fixation,fixation,999.3950000000186,,,,0,1,0,,,,,3,Trial,,1,S,SH,sock_shock_007.mp3
996,1589578124398,15/05/2020 21:28:44,1589578122855,-4,15/05/2020 17:28:42,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,417,331,1,stimulus,Zone1,content_audio,781.7849999992177,,,,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_010.mp3
997,1589578124615,15/05/2020 21:28:44,1589578123084,-4,15/05/2020 17:28:43,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,417,331,2,response,Zone3,response_keyboard_single,198.9900000008056,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_010.mp3
998,1589578125615,15/05/2020 21:28:45,1589578124071,-4,15/05/2020 17:28:44,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,417,331,3,Screen 1,fixation,fixation,999.329000000027,,,,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_010.mp3
999,1589578126650,15/05/2020 21:28:46,1589578125072,-4,15/05/2020 17:28:45,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,394,332,1,stimulus,fixation,fixation,999.3100000000559,,,,0,1,0,,,,,3,Trial,,1,S,SH,sore_shore_007.mp3
1000,1589578127087,15/05/2020 21:28:47,1589578125556,-4,15/05/2020 17:28:45,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,394,332,2,response,Zone2,response_keyboard_single,445.88999999908265,,S,1,0,1,0,,,,,3,Trial,,1,S,SH,sore_shore_007.mp3
1001,1589578128087,15/05/2020 21:28:48,1589578126544,-4,15/05/2020 17:28:46,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,394,332,3,Screen 1,fixation,fixation,999.3149999999441,,,,0,1,0,,,,,3,Trial,,1,S,SH,sore_shore_007.mp3
1002,1589578129087,15/05/2020 21:28:49,1589578127544,-4,15/05/2020 17:28:47,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,401,333,1,stimulus,fixation,fixation,999.5929999999935,,,,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_002.mp3
1003,1589578129636,15/05/2020 21:28:49,1589578128082,-4,15/05/2020 17:28:48,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,401,333,2,response,Zone2,response_keyboard_single,507.88500000268687,,S,1,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_002.mp3
1004,1589578130602,15/05/2020 21:28:50,1589578129068,-4,15/05/2020 17:28:49,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,401,333,3,Screen 1,fixation,fixation,999.329000000027,,,,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_002.mp3
1005,1589578131477,15/05/2020 21:28:51,1589578129934,-4,15/05/2020 17:28:49,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,412,334,1,stimulus,Zone1,content_audio,815.1250000010477,,,,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_007.mp3
1006,1589578131681,15/05/2020 21:28:51,1589578130097,-4,15/05/2020 17:28:50,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,412,334,2,response,Zone3,response_keyboard_single,129.9300000028452,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_007.mp3
