Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
32,1593629683110,01/07/2020 18:54:43,1593629682356,-4,01/07/2020 14:54:42,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,53,10,1,stimulus,Zone1,content_audio,1654.0200000163168,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sell_shell_006.mp3,pocketful,sell,shell,6,-2,s-sh
33,1593629684031,01/07/2020 18:54:44,1593629683266,-4,01/07/2020 14:54:43,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,53,10,2,response,Zone3,response_keyboard_single,891.0249999898952,,,s,1,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sell_shell_006.mp3,pocketful,sell,shell,6,-2,s-sh
34,1593629685015,01/07/2020 18:54:45,1593629684261,-4,01/07/2020 14:54:44,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,53,10,3,Screen 1,fixation,fixation,999.4570000000094,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sell_shell_006.mp3,pocketful,sell,shell,6,-2,s-sh
35,1593629686657,01/07/2020 18:54:46,1593629685915,-4,01/07/2020 14:54:45,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,134,11,1,stimulus,Zone1,content_audio,1641.9000000169035,,,,,0,1,0,,,,,1,Trial,,1,sh,s,maniac_sort_short_004.mp3,maniac,sort,short,4,-1,s-sh
36,1593629687096,01/07/2020 18:54:47,1593629686356,-4,01/07/2020 14:54:46,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,134,11,2,response,Zone2,response_keyboard_single,435.7949999975972,,,sh,1,0,1,0,,,,,1,Trial,,1,sh,s,maniac_sort_short_004.mp3,maniac,sort,short,4,-1,s-sh
37,1593629688079,01/07/2020 18:54:48,1593629687343,-4,01/07/2020 14:54:47,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,134,11,3,Screen 1,fixation,fixation,1000.0570000000007,,,,,0,1,0,,,,,1,Trial,,1,sh,s,maniac_sort_short_004.mp3,maniac,sort,short,4,-1,s-sh
38,1593629690097,01/07/2020 18:54:50,1593629689345,-4,01/07/2020 14:54:49,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,91,12,1,stimulus,fixation,fixation,2000.4340000000084,,,,,0,1,0,,,,,1,Trial,,1,sh,s,questionnaire_sign_shine_007.mp3,questionnaire,sign,shine,7,1,s-sh
39,1593629690595,01/07/2020 18:54:50,1593629689855,-4,01/07/2020 14:54:49,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,91,12,2,response,Zone2,response_keyboard_single,502.0899999944959,,,sh,1,0,1,0,,,,,1,Trial,,1,sh,s,questionnaire_sign_shine_007.mp3,questionnaire,sign,shine,7,1,s-sh
40,1593629691599,01/07/2020 18:54:51,1593629690845,-4,01/07/2020 14:54:50,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,91,12,3,Screen 1,fixation,fixation,1000.3479999999981,,,,,0,1,0,,,,,1,Trial,,1,sh,s,questionnaire_sign_shine_007.mp3,questionnaire,sign,shine,7,1,s-sh
41,1593629693291,01/07/2020 18:54:53,1593629692536,-4,01/07/2020 14:54:52,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,115,13,1,stimulus,Zone1,content_audio,1679.214999981923,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sip_ship_006.mp3,pocketful,sip,ship,6,0,s-sh
42,1593629693837,01/07/2020 18:54:53,1593629693093,-4,01/07/2020 14:54:53,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,115,13,2,response,Zone2,response_keyboard_single,536.4750000007916,,,sh,1,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sip_ship_006.mp3,pocketful,sip,ship,6,0,s-sh
43,1593629694840,01/07/2020 18:54:54,1593629694093,-4,01/07/2020 14:54:54,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,115,13,3,Screen 1,fixation,fixation,999.994000000006,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sip_ship_006.mp3,pocketful,sip,ship,6,0,s-sh
44,1593629696794,01/07/2020 18:54:56,1593629696036,-4,01/07/2020 14:54:56,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,119,14,1,stimulus,Zone1,content_audio,1934.3249999801628,,,,,0,1,0,,,,,1,Trial,,1,sh,s,questionnaire_sip_ship_005.mp3,questionnaire,sip,ship,5,-1,s-sh
