Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
957,1593629823273,01/07/2020 18:57:03,1593629823180,-5,01/07/2020 13:57:03,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,316,317,2,response,Zone3,response_keyboard_single,252.47500000102445,,,l,1,0,1,0,,,,,3,Trial,,1,r,l,dangerous_lake_rake_004.mp3,dangerous,lake,rake,4,-1,l-r
958,1593629824272,01/07/2020 18:57:04,1593629824179,-5,01/07/2020 13:57:04,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,316,317,3,Screen 1,fixation,fixation,1000.5419999998994,,,,,0,1,0,,,,,3,Trial,,1,r,l,dangerous_lake_rake_004.mp3,dangerous,lake,rake,4,-1,l-r
959,1593629826212,01/07/2020 18:57:06,1593629826121,-5,01/07/2020 13:57:06,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,386,318,1,stimulus,Zone1,content_audio,1925.5550000017975,,,,,0,1,0,,,,,3,Trial,,1,r,l,abolish_lip_rip_005.mp3,abolish,lip,rip,5,-1,l-r
960,1593629826369,01/07/2020 18:57:06,1593629826227,-5,01/07/2020 13:57:06,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,386,318,2,response,Zone2,response_keyboard_single,95.24999999837019,,,r,1,0,1,0,,,,,3,Trial,,1,r,l,abolish_lip_rip_005.mp3,abolish,lip,rip,5,-1,l-r
961,1593629827306,01/07/2020 18:57:07,1593629827212,-5,01/07/2020 13:57:07,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,386,318,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,3,Trial,,1,r,l,abolish_lip_rip_005.mp3,abolish,lip,rip,5,-1,l-r
962,1593629829307,01/07/2020 18:57:09,1593629829209,-5,01/07/2020 13:57:09,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,346,319,1,stimulus,Zone1,content_audio,1982.715000005439,,,,,0,1,0,,,,,3,Trial,,1,r,l,abolish_lie_rye_004.mp3,abolish,lie,rye,4,-1,l-r
963,1593629829713,01/07/2020 18:57:09,1593629829607,-5,01/07/2020 13:57:09,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,346,319,2,response,Zone3,response_keyboard_single,387.08000000054017,,,l,1,0,1,0,,,,,3,Trial,,1,r,l,abolish_lie_rye_004.mp3,abolish,lie,rye,4,-1,l-r
964,1593629830688,01/07/2020 18:57:10,1593629830597,-5,01/07/2020 13:57:10,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,346,319,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,3,Trial,,1,r,l,abolish_lie_rye_004.mp3,abolish,lie,rye,4,-1,l-r
965,1593629832501,01/07/2020 18:57:12,1593629832413,-5,01/07/2020 13:57:12,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,437,320,1,stimulus,Zone1,content_audio,1801.0900000007823,,,,,0,1,0,,,,,3,Trial,,1,r,l,dangerous_lot_rot_005.mp3,dangerous,lot,rot,5,0,l-r
966,1593629832714,01/07/2020 18:57:12,1593629832620,-5,01/07/2020 13:57:12,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,437,320,2,response,Zone2,response_keyboard_single,193.82000000029802,,,r,1,0,1,0,,,,,3,Trial,,1,r,l,dangerous_lot_rot_005.mp3,dangerous,lot,rot,5,0,l-r
967,1593629833698,01/07/2020 18:57:13,1593629833612,-5,01/07/2020 13:57:13,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,437,320,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,3,Trial,,1,r,l,dangerous_lot_rot_005.mp3,dangerous,lot,rot,5,0,l-r
968,1593629835481,01/07/2020 18:57:15,1593629835386,-5,01/07/2020 13:57:15,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,414,321,1,stimulus,Zone1,content_audio,1756.249999998603,,,,,0,1,0,,,,,3,Trial,,1,r,l,maniac_lip_rip_008.mp3,maniac,lip,rip,8,2,l-r
