Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1593639829784,01/07/2020 21:43:49,1593639828184,-4,01/07/2020 17:43:48,21059,7,questionnaire-t1fh,,5861715,56a93cf24020250005d62f2b,1649873,,complete,,5efd0375729e0b13ca247d07,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1447x779,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1593639868384,01/07/2020 21:44:28,1593639866832,-4,01/07/2020 17:44:26,21059,7,questionnaire-t1fh,,5861715,56a93cf24020250005d62f2b,1649873,,complete,,5efd0375729e0b13ca247d07,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1430x779,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent,Yes
3,1593639868524,01/07/2020 21:44:28,1593639866834,-4,01/07/2020 17:44:26,21059,7,questionnaire-t1fh,,5861715,56a93cf24020250005d62f2b,1649873,,complete,,5efd0375729e0b13ca247d07,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1430x779,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent-quantised,1
4,1593639868524,01/07/2020 21:44:28,1593639866835,-4,01/07/2020 17:44:26,21059,7,questionnaire-t1fh,,5861715,56a93cf24020250005d62f2b,1649873,,complete,,5efd0375729e0b13ca247d07,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1430x779,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,END QUESTIONNAIRE,38651
1,1593639830300,01/07/2020 21:43:50,1593639829321,-4,01/07/2020 17:43:49,21059,7,questionnaire-t1fh,,5861716,5efbdc4686f35d188360b5cb,1649874,,complete,,5efd0339a720251300dc8c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1366x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,BEGIN QUESTIONNAIRE,
2,1593639897145,01/07/2020 21:44:57,1593639896251,-4,01/07/2020 17:44:56,21059,7,questionnaire-t1fh,,5861716,5efbdc4686f35d188360b5cb,1649874,,complete,,5efd0339a720251300dc8c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent,Yes
3,1593639897287,01/07/2020 21:44:57,1593639896253,-4,01/07/2020 17:44:56,21059,7,questionnaire-t1fh,,5861716,5efbdc4686f35d188360b5cb,1649874,,complete,,5efd0339a720251300dc8c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent-quantised,1
4,1593639897287,01/07/2020 21:44:57,1593639896253,-4,01/07/2020 17:44:56,21059,7,questionnaire-t1fh,,5861716,5efbdc4686f35d188360b5cb,1649874,,complete,,5efd0339a720251300dc8c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,END QUESTIONNAIRE,66933
1,1593639904238,01/07/2020 21:45:04,1593639904073,-10,01/07/2020 11:45:04,21059,7,questionnaire-t1fh,,5861734,5ee961c2bcf7e219990c19b6,1649880,,complete,,5efd037b346ca11313cea837,computer,Desktop or Laptop,Mac OS 10.13.5,Chrome 83.0.4103.106,1440x900,1200x682,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,BEGIN QUESTIONNAIRE,
2,1593640082924,01/07/2020 21:48:02,1593640082797,-10,01/07/2020 11:48:02,21059,7,questionnaire-t1fh,,5861734,5ee961c2bcf7e219990c19b6,1649880,,complete,,5efd037b346ca11313cea837,computer,Desktop or Laptop,Mac OS 10.13.5,Chrome 83.0.4103.106,1440x900,1200x682,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent,Yes
3,1593640083330,01/07/2020 21:48:03,1593640082799,-10,01/07/2020 11:48:02,21059,7,questionnaire-t1fh,,5861734,5ee961c2bcf7e219990c19b6,1649880,,complete,,5efd037b346ca11313cea837,computer,Desktop or Laptop,Mac OS 10.13.5,Chrome 83.0.4103.106,1440x900,1200x682,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent-quantised,1
4,1593640083330,01/07/2020 21:48:03,1593640082799,-10,01/07/2020 11:48:02,21059,7,questionnaire-t1fh,,5861734,5ee961c2bcf7e219990c19b6,1649880,,complete,,5efd037b346ca11313cea837,computer,Desktop or Laptop,Mac OS 10.13.5,Chrome 83.0.4103.106,1440x900,1200x682,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,END QUESTIONNAIRE,178726
1,1593640009596,01/07/2020 21:46:49,1593640008156,-5,01/07/2020 16:46:48,21059,7,questionnaire-t1fh,,5861748,5efb498f9baaf30838106c5d,1649883,,complete,,5efd03e7bb841214496f3e57,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x969,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order2,BEGIN QUESTIONNAIRE,
