Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
6,1589727459170,17/05/2020 14:57:39,1589727461791,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-race-4,Black or African American
7,1589727459170,17/05/2020 14:57:39,1589727461793,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-race-5,White
8,1589727459170,17/05/2020 14:57:39,1589727461795,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-race-6,More than One Race
9,1589727459170,17/05/2020 14:57:39,1589727461797,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-handedness,Right-handed
10,1589727459170,17/05/2020 14:57:39,1589727461799,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-handedness-quantised,1
11,1589727459170,17/05/2020 14:57:39,1589727461800,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,END QUESTIONNAIRE,22645
1,1589727504565,17/05/2020 14:58:24,1589727503787,-7,17/05/2020 07:58:23,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1589727536903,17/05/2020 14:58:56,1589727535719,-7,17/05/2020 07:58:55,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-accent-5,Pacific southwest
3,1589727537107,17/05/2020 14:58:57,1589727535721,-7,17/05/2020 07:58:55,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-accent-text,
4,1589727537107,17/05/2020 14:58:57,1589727535721,-7,17/05/2020 07:58:55,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-sex-2,Male
